T	den	cp	lambda
489	1.14372054	29.77311831	0.038313698
490	1.141384937	29.77841925	0.038376621
491	1.139058866	29.78373783	0.03843953
492	1.13674227	29.78907394	0.038502424
493	1.134435091	29.79442749	0.038565305
494	1.132137272	29.79979838	0.038628172
495	1.129848754	29.80518652	0.038691026
496	1.127569483	29.8105918	0.038753865
497	1.125299402	29.81601414	0.038816691
498	1.123038456	29.82145342	0.038879504
499	1.120786589	29.82690956	0.038942303
500	1.118543746	29.83238245	0.039005089
501	1.116309875	29.837872	0.039067861
502	1.11408492	29.84337812	0.03913062
503	1.111868828	29.84890069	0.039193366
504	1.109661547	29.85443962	0.039256099
505	1.107463024	29.85999482	0.039318819
506	1.105273206	29.86556618	0.039381526
507	1.103092043	29.8711536	0.03944422
508	1.100919483	29.87675699	0.039506901
509	1.098755474	29.88237624	0.03956957
510	1.096599967	29.88801127	0.039632226
511	1.094452912	29.89366196	0.039694869
512	1.092314259	29.89932822	0.039757499
513	1.090183957	29.90500994	0.039820117
514	1.08806196	29.91070704	0.039882723
515	1.085948217	29.91641939	0.039945316
516	1.083842682	29.92214692	0.040007896
517	1.081745306	29.92788952	0.040070465
518	1.079656041	29.93364708	0.040133021
519	1.077574841	29.93941951	0.040195565
520	1.07550166	29.94520671	0.040258096
521	1.073436449	29.95100857	0.040320616
522	1.071379166	29.956825	0.040383123
523	1.069329762	29.96265589	0.040445619
524	1.067288193	29.96850116	0.040508102
525	1.065254413	29.97436069	0.040570573
526	1.06322838	29.98023437	0.040633033
527	1.061210048	29.98612213	0.04069548
528	1.059199373	29.99202385	0.040757916
529	1.057196312	29.99793943	0.04082034
530	1.055200822	30.00386878	0.040882752
531	1.053212859	30.00981178	0.040945153
532	1.051232381	30.01576835	0.041007541
533	1.049259347	30.02173838	0.041069919
534	1.047293713	30.02772177	0.041132284
535	1.045335439	30.03371843	0.041194638
536	1.043384482	30.03972824	0.04125698
537	1.041440803	30.04575112	0.041319311
538	1.03950436	30.05178695	0.04138163
539	1.037575113	30.05783564	0.041443938
540	1.035653022	30.0638971	0.041506234
541	1.033738047	30.06997122	0.041568518
542	1.031830149	30.07605789	0.041630792
543	1.029929288	30.08215702	0.041693054
544	1.028035425	30.08826852	0.041755304
545	1.026148523	30.09439227	0.041817543
546	1.024268542	30.1005282	0.041879771
547	1.022395444	30.10667618	0.041941988
548	1.020529192	30.11283612	0.042004193
549	1.018669748	30.11900793	0.042066387
550	1.016817075	30.12519149	0.04212857
551	1.014971136	30.13138673	0.042190741
552	1.013131895	30.13759353	0.042252901
553	1.011299314	30.14381179	0.04231505
554	1.009473358	30.15004143	0.042377188
555	1.007653991	30.15628233	0.042439314
556	1.005841177	30.16253441	0.04250143
557	1.00403488	30.16879756	0.042563534
558	1.002235067	30.17507169	0.042625627
559	1.000441701	30.18135668	0.042687709
560	0.998654748	30.18765247	0.042749779
561	0.996874174	30.19395892	0.042811839
562	0.995099945	30.20027597	0.042873887
563	0.993332026	30.2066035	0.042935924
564	0.991570385	30.21294142	0.04299795
565	0.989814987	30.21928963	0.043059965
566	0.9880658	30.22564804	0.043121969
567	0.98632279	30.23201655	0.043183962
568	0.984585925	30.23839505	0.043245943
569	0.982855173	30.24478346	0.043307914
570	0.981130501	30.25118168	0.043369873
571	0.979411877	30.25758962	0.043431821
572	0.977699269	30.26400717	0.043493758
573	0.975992646	30.27043424	0.043555684
574	0.974291976	30.27687074	0.043617599
575	0.972597229	30.28331657	0.043679503
576	0.970908373	30.28977164	0.043741395
577	0.969225378	30.29623585	0.043803276
578	0.967548213	30.3027091	0.043865147
579	0.965876848	30.30919131	0.043927006
580	0.964211253	30.31568238	0.043988854
581	0.962551398	30.32218221	0.04405069
582	0.960897253	30.32869072	0.044112516
583	0.959248789	30.3352078	0.04417433
584	0.957605977	30.34173336	0.044236134
585	0.955968787	30.34826731	0.044297926
586	0.954337191	30.35480957	0.044359706
587	0.95271116	30.36136003	0.044421476
588	0.951090666	30.3679186	0.044483234
589	0.94947568	30.3744852	0.044544981
590	0.947866175	30.38105973	0.044606717
591	0.946262122	30.38764209	0.044668442
592	0.944663494	30.3942322	0.044730155
593	0.943070263	30.40082997	0.044791857
594	0.941482402	30.4074353	0.044853548
595	0.939899883	30.41404811	0.044915227
596	0.938322681	30.4206683	0.044976895
597	0.936750768	30.42729579	0.045038552
598	0.935184117	30.43393048	0.045100197
599	0.933622703	30.44057229	0.045161831
600	0.932066498	30.44722113	0.045223453
601	0.930515478	30.45387689	0.045285064
602	0.928969615	30.46053951	0.045346664
603	0.927428884	30.4672089	0.045408252
604	0.92589326	30.47388495	0.045469829
605	0.924362717	30.48056759	0.045531394
606	0.922837231	30.48725673	0.045592948
607	0.921316775	30.49395227	0.04565449
608	0.919801326	30.50065414	0.04571602
609	0.918290859	30.50736224	0.045777539
610	0.916785348	30.51407649	0.045839047
611	0.91528477	30.52079681	0.045900542
612	0.9137891	30.52752311	0.045962027
613	0.912298314	30.5342553	0.046023499
614	0.910812389	30.5409933	0.04608496
615	0.9093313	30.54773702	0.046146409
616	0.907855025	30.55448638	0.046207846
617	0.906383539	30.56124129	0.046269272
618	0.904916819	30.56800167	0.046330685
619	0.903454843	30.57476744	0.046392087
620	0.901997586	30.5815385	0.046453478
621	0.900545027	30.58831479	0.046514856
622	0.899097143	30.59509622	0.046576222
623	0.89765391	30.6018827	0.046637577
624	0.896215308	30.60867415	0.046698919
625	0.894781312	30.6154705	0.04676025
626	0.893351902	30.62227165	0.046821568
627	0.891927055	30.62907753	0.046882875
628	0.89050675	30.63588806	0.046944169
629	0.889090965	30.64270315	0.047005452
630	0.887679677	30.64952273	0.047066722
631	0.886272867	30.65634671	0.04712798
632	0.884870512	30.66317503	0.047189226
633	0.883472591	30.67000759	0.04725046
634	0.882079084	30.67684431	0.047311682
635	0.880689969	30.68368513	0.047372891
636	0.879305226	30.69052996	0.047434089
637	0.877924834	30.69737872	0.047495273
638	0.876548772	30.70423134	0.047556446
639	0.875177021	30.71108773	0.047617606
640	0.87380956	30.71794782	0.047678754
641	0.872446368	30.72481155	0.047739889
642	0.871087427	30.73167881	0.047801012
643	0.869732715	30.73854955	0.047862122
644	0.868382214	30.74542369	0.04792322
645	0.867035903	30.75230114	0.047984306
646	0.865693764	30.75918185	0.048045378
647	0.864355776	30.76606572	0.048106438
648	0.863021921	30.77295269	0.048167486
649	0.86169218	30.77984268	0.048228521
650	0.860366533	30.78673563	0.048289543
651	0.859044961	30.79363144	0.048350552
652	0.857727446	30.80053006	0.048411549
653	0.856413969	30.80743141	0.048472533
654	0.855104512	30.81433542	0.048533504
655	0.853799056	30.821242	0.048594462
656	0.852497582	30.8281511	0.048655407
657	0.851200074	30.83506265	0.048716339
658	0.849906511	30.84197657	0.048777259
659	0.848616877	30.84889278	0.048838165
660	0.847331154	30.85581123	0.048899058
661	0.846049323	30.86273183	0.048959939
662	0.844771368	30.86965452	0.049020806
663	0.84349727	30.87657924	0.04908166
664	0.842227012	30.8835059	0.0491425
665	0.840960577	30.89043445	0.049203328
666	0.839697948	30.89736481	0.049264142
667	0.838439106	30.90429692	0.049324943
668	0.837184037	30.91123071	0.049385731
669	0.835932721	30.91816611	0.049446506
670	0.834685144	30.92510305	0.049507267
671	0.833441287	30.93204147	0.049568014
672	0.832201134	30.9389813	0.049628749
673	0.830964669	30.94592247	0.049689469
674	0.829731875	30.95286493	0.049750177
675	0.828502736	30.95980859	0.04981087
676	0.827277236	30.9667534	0.04987155
677	0.826055358	30.9736993	0.049932217
678	0.824837087	30.98064622	0.04999287
679	0.823622406	30.98759409	0.050053509
680	0.8224113	30.99454286	0.050114134
681	0.821203753	31.00149245	0.050174746
682	0.819999749	31.00844281	0.050235344
683	0.818799273	31.01539387	0.050295928
684	0.817602309	31.02234558	0.050356498
685	0.816408841	31.02929786	0.050417054
686	0.815218855	31.03625065	0.050477596
687	0.814032335	31.04320391	0.050538125
688	0.812849266	31.05015755	0.050598639
689	0.811669634	31.05711153	0.050659139
690	0.810493422	31.06406578	0.050719625
691	0.809320616	31.07102024	0.050780097
692	0.808151202	31.07797485	0.050840555
693	0.806985165	31.08492957	0.050900999
694	0.805822489	31.09188432	0.050961429
695	0.804663162	31.09883903	0.051021844
696	0.803507167	31.10579368	0.051082245
697	0.802354491	31.11274818	0.051142632
698	0.80120512	31.11970247	0.051203004
699	0.800059038	31.12665652	0.051263362
700	0.798916233	31.13361026	0.051323705

