T	den	cp	lambda	h
457	1.35225639	30.68452144	0.039290998	13.43203523
458	1.349300079	30.69442081	0.039371653	13.4627247
459	1.346356689	30.70433066	0.039452308	13.49342408
460	1.343426134	30.71425072	0.039532963	13.52413337
461	1.340508331	30.72418074	0.039613617	13.55485258
462	1.337603197	30.73412045	0.039694271	13.58558173
463	1.334710649	30.7440696	0.039774925	13.61632083
464	1.331830605	30.75402793	0.039855578	13.64706987
465	1.328962985	30.76399519	0.03993623	13.67782888
466	1.326107708	30.77397112	0.040016881	13.70859787
467	1.323264694	30.78395548	0.040097531	13.73937683
468	1.320433865	30.79394802	0.040178179	13.77016578
469	1.317615142	30.80394848	0.040258826	13.80096473
470	1.314808447	30.81395662	0.040339472	13.83177368
471	1.312013703	30.8239722	0.040420115	13.86259264
472	1.309230835	30.83399498	0.040500757	13.89342163
473	1.306459766	30.84402471	0.040581396	13.92426064
474	1.303700422	30.85406116	0.040662033	13.95510968
475	1.300952728	30.86410409	0.040742667	13.98596876
476	1.29821661	30.87415326	0.040823299	14.01683789
477	1.295491995	30.88420844	0.040903928	14.04771707
478	1.292778811	30.8942694	0.040984554	14.07860631
479	1.290076985	30.9043359	0.041065177	14.10950561
480	1.287386447	30.91440773	0.041145796	14.14041498
481	1.284707126	30.92448465	0.041226412	14.17133443
482	1.282038951	30.93456643	0.041307024	14.20226395
483	1.279381854	30.94465286	0.041387632	14.23320356
484	1.276735764	30.95474371	0.041468236	14.26415326
485	1.274100615	30.96483876	0.041548836	14.29511305
486	1.271476337	30.97493779	0.041629431	14.32608294
487	1.268862864	30.98504059	0.041710022	14.35706293
488	1.266260129	30.99514695	0.041790608	14.38805302
489	1.263668066	31.00525664	0.041871189	14.41905322
490	1.261086608	31.01536945	0.041951765	14.45006354
491	1.258515692	31.02548518	0.042032336	14.48108396
492	1.255955253	31.03560362	0.042112901	14.51211451
493	1.253405226	31.04572456	0.042193461	14.54315517
494	1.250865549	31.0558478	0.042274014	14.57420596
495	1.248336157	31.06597313	0.042354562	14.60526687
496	1.245816989	31.07610036	0.042435104	14.6363379
497	1.243307983	31.08622927	0.042515639	14.66741907
498	1.240809077	31.09635968	0.042596167	14.69851036
499	1.23832021	31.10649138	0.042676689	14.72961179
500	1.235841322	31.11662418	0.042757204	14.76072335
501	1.233372353	31.1267579	0.042837712	14.79184504
502	1.230913243	31.13689233	0.042918213	14.82297686
503	1.228463933	31.14702728	0.042998706	14.85411882
504	1.226024365	31.15716257	0.043079191	14.88527092
505	1.223594481	31.16729802	0.043159669	14.91643315
506	1.221174223	31.17743343	0.043240139	14.94760551
507	1.218763533	31.18756862	0.0433206	14.97878801
508	1.216362355	31.19770341	0.043401054	15.00998065
509	1.213970634	31.20783762	0.043481499	15.04118342
510	1.211588312	31.21797108	0.043561935	15.07239632
511	1.209215335	31.22810359	0.043642362	15.10361936
512	1.206851647	31.238235	0.04372278	15.13485253
513	1.204497195	31.24836511	0.043803189	15.16609583
514	1.202151924	31.25849377	0.043883588	15.19734926
515	1.19981578	31.2686208	0.043963978	15.22861282
516	1.19748871	31.27874603	0.044044359	15.2598865
517	1.195170661	31.2888693	0.044124729	15.29117031
518	1.192861581	31.29899043	0.044205089	15.32246424
519	1.190561418	31.30910926	0.044285439	15.35376829
520	1.18827012	31.31922563	0.044365778	15.38508246
521	1.185987635	31.32933938	0.044446107	15.41640674
522	1.183713914	31.33945035	0.044526425	15.44774114
523	1.181448906	31.34955837	0.044606731	15.47908564
524	1.17919256	31.3596633	0.044687027	15.51044025
525	1.176944827	31.36976497	0.044767311	15.54180497
526	1.174705658	31.37986324	0.044847584	15.57317978
527	1.172475003	31.38995794	0.044927845	15.60456469
528	1.170252815	31.40004893	0.045008094	15.63595969
529	1.168039044	31.41013606	0.045088331	15.66736479
530	1.165833644	31.42021918	0.045168556	15.69877997
531	1.163636567	31.43029815	0.045248769	15.73020522
532	1.161447765	31.44037281	0.045328969	15.76164056
533	1.159267192	31.45044302	0.045409156	15.79308597
534	1.157094801	31.46050865	0.04548933	15.82454144
535	1.154930547	31.47056955	0.045569491	15.85600698
536	1.152774384	31.48062557	0.045649639	15.88748258
537	1.150626267	31.4906766	0.045729773	15.91896823
538	1.148486149	31.50072247	0.045809894	15.95046393
539	1.146353988	31.51076307	0.045890001	15.98196968
540	1.144229738	31.52079826	0.045970094	16.01348546
541	1.142113355	31.5308279	0.046050173	16.04501127
542	1.140004797	31.54085186	0.046130237	16.07654711
543	1.137904018	31.55087001	0.046210287	16.10809297
544	1.135810977	31.56088223	0.046290323	16.13964885
545	1.133725631	31.57088839	0.046370343	16.17121474
546	1.131647937	31.58088836	0.046450349	16.20279062
547	1.129577852	31.59088202	0.04653034	16.23437651
548	1.127515337	31.60086924	0.046610315	16.26597239
549	1.125460348	31.6108499	0.046690274	16.29757825
550	1.123412845	31.62082389	0.046770219	16.32919408
551	1.121372786	31.63079108	0.046850147	16.36081989
552	1.119340132	31.64075135	0.046930059	16.39245566
553	1.117314842	31.65070459	0.047009955	16.42410139
554	1.115296875	31.66065069	0.047089835	16.45575707
555	1.113286193	31.67058952	0.047169699	16.48742269
556	1.111282756	31.68052098	0.047249545	16.51909825
557	1.109286524	31.69044496	0.047329375	16.55078373
558	1.107297459	31.70036134	0.047409188	16.58247913
559	1.105315523	31.71027002	0.047488984	16.61418445
560	1.103340676	31.72017088	0.047568763	16.64589967
561	1.101372881	31.73006383	0.047648524	16.67762479
562	1.099412101	31.73994875	0.047728268	16.7093598
563	1.097458297	31.74982554	0.047807993	16.74110468
564	1.095511433	31.75969411	0.047887701	16.77285945
565	1.093571471	31.76955434	0.047967391	16.80462407
566	1.091638375	31.77940613	0.048047063	16.83639855
567	1.089712108	31.7892494	0.048126716	16.86818288
568	1.087792635	31.79908404	0.048206351	16.89997705
569	1.085879919	31.80890994	0.048285967	16.93178104
570	1.083973924	31.81872703	0.048365564	16.96359486
571	1.082074616	31.82853519	0.048445142	16.9954185
572	1.080181959	31.83833435	0.048524701	17.02725193
573	1.078295918	31.8481244	0.048604241	17.05909516
574	1.076416459	31.85790525	0.048683762	17.09094818
575	1.074543547	31.86767683	0.048763262	17.12281097
576	1.072677147	31.87743902	0.048842743	17.15468353
577	1.070817227	31.88719176	0.048922204	17.18656584
578	1.068963752	31.89693494	0.049001645	17.21845791
579	1.067116688	31.90666849	0.049081066	17.25035971
580	1.065276003	31.91639232	0.049160466	17.28227124
581	1.063441664	31.92610635	0.049239846	17.31419249
582	1.061613637	31.93581049	0.049319205	17.34612345
583	1.05979189	31.94550467	0.049398544	17.37806411
584	1.057976391	31.9551888	0.049477861	17.41001446
585	1.056167108	31.9648628	0.049557158	17.44197448
586	1.054364008	31.97452659	0.049636433	17.47394418
587	1.052567061	31.98418011	0.049715687	17.50592353
588	1.050776234	31.99382326	0.049794919	17.53791254
589	1.048991496	32.00345598	0.04987413	17.56991118
590	1.047212817	32.01307819	0.049953319	17.60191944
591	1.045440165	32.02268982	0.050032486	17.63393733
592	1.04367351	32.0322908	0.050111631	17.66596482
593	1.041912822	32.04188105	0.050190753	17.69800191
594	1.040158069	32.0514605	0.050269854	17.73004858
595	1.038409223	32.06102909	0.050348931	17.76210482
596	1.036666254	32.07058675	0.050427987	17.79417063
597	1.034929131	32.0801334	0.050507019	17.82624599
598	1.033197825	32.08966899	0.050586029	17.8583309
599	1.031472308	32.09919345	0.050665015	17.89042533
600	1.02975255	32.1087067	0.050743978	17.92252928
601	1.028038523	32.1182087	0.050822919	17.95464274
602	1.026330197	32.12769937	0.050901835	17.98676569
603	1.024627545	32.13717865	0.050980728	18.01889813
604	1.022930537	32.14664649	0.051059598	18.05104005
605	1.021239147	32.15610282	0.051138443	18.08319142
606	1.019553346	32.16554758	0.051217265	18.11535225
607	1.017873106	32.17498072	0.051296062	18.14752251
608	1.016198401	32.18440217	0.051374835	18.17970221
609	1.014529202	32.19381188	0.051453584	18.21189131
610	1.012865483	32.2032098	0.051532309	18.24408983
611	1.011207216	32.21259587	0.051611009	18.27629773
612	1.009554375	32.22197004	0.051689684	18.30851501
613	1.007906933	32.23133225	0.051768334	18.34074167
614	1.006264863	32.24068245	0.051846959	18.37297767
615	1.004628141	32.25002058	0.05192556	18.40522303
616	1.002996738	32.25934661	0.052004135	18.43747771
617	1.00137063	32.26866047	0.052082684	18.46974172
618	0.999749791	32.27796212	0.052161209	18.50201503
619	0.998134195	32.28725152	0.052239707	18.53429764
620	0.996523816	32.2965286	0.05231818	18.56658953
621	0.99491863	32.30579333	0.052396627	18.59889069
622	0.993318611	32.31504566	0.052475049	18.63120111
623	0.991723735	32.32428555	0.052553444	18.66352078
624	0.990133976	32.33351295	0.052631813	18.69584968
625	0.98854931	32.34272781	0.052710155	18.7281878
626	0.986969713	32.3519301	0.052788472	18.76053513
627	0.98539516	32.36111976	0.052866762	18.79289165
628	0.983825627	32.37029677	0.052945025	18.82525736
629	0.98226109	32.37946108	0.053023261	18.85763224
630	0.980701525	32.38861264	0.053101471	18.89001628
631	0.979146909	32.39775143	0.053179653	18.92240946
632	0.977597218	32.40687739	0.053257809	18.95481178
633	0.976052428	32.4159905	0.053335937	18.98722322
634	0.974512517	32.42509072	0.053414038	19.01964376
635	0.972977461	32.434178	0.053492112	19.05207339
636	0.971447238	32.44325232	0.053570158	19.08451211
637	0.969921824	32.45231364	0.053648177	19.11695989
638	0.968401197	32.46136192	0.053726167	19.14941673
639	0.966885334	32.47039713	0.05380413	19.18188261
640	0.965374213	32.47941924	0.053882065	19.21435752
641	0.963867813	32.48842821	0.053959972	19.24684145
642	0.962366109	32.49742402	0.054037851	19.27933437
643	0.960869082	32.50640663	0.054115702	19.31183629
644	0.959376708	32.515376	0.054193524	19.34434718
645	0.957888967	32.52433212	0.054271317	19.37686704
646	0.956405836	32.53327495	0.054349083	19.40939584
647	0.954927294	32.54220447	0.054426819	19.44193358
648	0.95345332	32.55112064	0.054504527	19.47448025
649	0.951983894	32.56002343	0.054582206	19.50703582
650	0.950518992	32.56891283	0.054659856	19.53960029
651	0.949058596	32.5777888	0.054737477	19.57217364
652	0.947602684	32.58665133	0.054815068	19.60475586
653	0.946151235	32.59550037	0.054892631	19.63734694
654	0.944704229	32.60433592	0.054970164	19.66994686
655	0.943261646	32.61315794	0.055047668	19.70255561
656	0.941823465	32.62196641	0.055125142	19.73517317
657	0.940389667	32.63076131	0.055202587	19.76779953
658	0.93896023	32.63954262	0.055280001	19.80043469
