Temperature[K]	den	cp	lambda	h
626	0.557423338	36.87369069	0.049361546	57.29745233
627	0.556524934	36.88348799	0.049474981	57.33433091
628	0.555629463	36.89330912	0.049588519	57.37121931
629	0.554736912	36.90315383	0.04970216	57.40811754
630	0.553847266	36.91302189	0.049815903	57.44502562
631	0.55296051	36.92291308	0.049929748	57.48194359
632	0.55207663	36.93282716	0.050043695	57.51887146
633	0.551195611	36.94276392	0.050157744	57.55580925
634	0.550317439	36.95272313	0.050271893	57.59275699
635	0.549442101	36.96270458	0.050386143	57.62971471
636	0.548569582	36.97270805	0.050500494	57.66668241
637	0.547699868	36.98273333	0.050614944	57.70366013
638	0.546832945	36.99278023	0.050729495	57.74064788
639	0.5459688	37.00284852	0.050844144	57.7776457
640	0.545107419	37.01293802	0.050958893	57.81465359
641	0.544248788	37.02304853	0.051073741	57.85167158
642	0.543392895	37.03317984	0.051188687	57.88869969
643	0.542539724	37.04333178	0.051303731	57.92573795
644	0.541689265	37.05350414	0.051418874	57.96278636
645	0.540841502	37.06369676	0.051534113	57.99984496
646	0.539996424	37.07390943	0.05164945	58.03691376
647	0.539154016	37.08414199	0.051764885	58.07399279
648	0.538314267	37.09439424	0.051880415	58.11108205
649	0.537477163	37.10466603	0.051996042	58.14818158
650	0.536642691	37.11495717	0.052111766	58.18529139
651	0.535810839	37.1252675	0.052227584	58.2224115
652	0.534981595	37.13559684	0.052343499	58.25954193
653	0.534154945	37.14594504	0.052459509	58.2966827
654	0.533330878	37.15631192	0.052575613	58.33383383
655	0.532509381	37.16669733	0.052691813	58.37099533
656	0.531690441	37.17710111	0.052808106	58.40816723
657	0.530874047	37.1875231	0.052924494	58.44534954
658	0.530060187	37.19796315	0.053040976	58.48254228
659	0.529248848	37.20842111	0.053157551	58.51974547
660	0.528440018	37.21889682	0.053274219	58.55695913
661	0.527633686	37.22939015	0.05339098	58.59418327
662	0.52682984	37.23990093	0.053507834	58.63141792
663	0.526028469	37.25042904	0.053624781	58.66866308
664	0.525229559	37.26097432	0.05374182	58.70591878
665	0.524433101	37.27153664	0.05385895	58.74318503
666	0.523639083	37.28211586	0.053976173	58.78046186
667	0.522847492	37.29271184	0.054093486	58.81774927
668	0.522058318	37.30332445	0.054210891	58.85504729
669	0.52127155	37.31395356	0.054328387	58.89235593
670	0.520487176	37.32459903	0.054445973	58.9296752
671	0.519705185	37.33526074	0.05456365	58.96700513
672	0.518925567	37.34593856	0.054681417	59.00434573
673	0.518148309	37.35663236	0.054799273	59.04169701
674	0.517373402	37.36734202	0.05491722	59.079059
675	0.516600834	37.37806742	0.055035255	59.1164317
676	0.515830595	37.38880843	0.05515338	59.15381514
677	0.515062674	37.39956494	0.055271594	59.19120932
678	0.51429706	37.41033682	0.055389896	59.22861427
679	0.513533743	37.42112397	0.055508287	59.26603
680	0.512772712	37.43192626	0.055626766	59.30345653
681	0.512013957	37.44274358	0.055745332	59.34089386
682	0.511257468	37.45357583	0.055863987	59.37834202
683	0.510503233	37.46442288	0.055982729	59.41580102
684	0.509751244	37.47528463	0.056101558	59.45327087
685	0.509001489	37.48616098	0.056220474	59.49075159
686	0.508253959	37.49705181	0.056339477	59.5282432
687	0.507508643	37.50795702	0.056458566	59.5657457
688	0.506765532	37.51887651	0.056577742	59.60325911
689	0.506024615	37.52981016	0.056697004	59.64078346
690	0.505285884	37.54075789	0.056816351	59.67831874
691	0.504549327	37.55171959	0.056935784	59.71586498
692	0.503814935	37.56269515	0.057055303	59.75342218
693	0.503082699	37.57368449	0.057174907	59.79099037
694	0.502352609	37.5846875	0.057294595	59.82856956
695	0.501624655	37.59570409	0.057414369	59.86615975
696	0.500898828	37.60673416	0.057534227	59.90376097
697	0.500175118	37.61777762	0.057654169	59.94137322
698	0.499453516	37.62883438	0.057774195	59.97899653
699	0.498734013	37.63990434	0.057894305	60.0166309
700	0.498016599	37.65098741	0.058014499	60.05427634

