T	den	cp	lambda	h
407	0.095603636	29.1982234	0.237016499	11.09128647
408	0.095369456	29.19926918	0.237433163	11.12048522
409	0.095136422	29.20029702	0.237849885	11.14968501
410	0.094904523	29.20130731	0.238266664	11.17888581
411	0.094673753	29.20230047	0.238733527	11.20808762
412	0.094444102	29.20327688	0.239200454	11.23729041
413	0.094215564	29.20423692	0.239667445	11.26649416
414	0.093988129	29.20518098	0.240134501	11.29569887
415	0.093761789	29.20610943	0.240601622	11.32490452
416	0.093536538	29.20702265	0.241068807	11.35411109
417	0.093312366	29.20792099	0.241536056	11.38331856
418	0.093089266	29.20880483	0.24200337	11.41252692
419	0.092867231	29.2096745	0.242470749	11.44173617
420	0.092646253	29.21053037	0.242938192	11.47094627
421	0.092426325	29.21137278	0.243405699	11.50015722
422	0.092207438	29.21220206	0.243873271	11.52936901
423	0.091989586	29.21301856	0.244340908	11.55858162
424	0.091772761	29.21382259	0.244808609	11.58779504
425	0.091556956	29.21461449	0.245276374	11.61700926
426	0.091342164	29.21539457	0.245744204	11.64622427
427	0.091128377	29.21616315	0.246212098	11.67544005
428	0.090915589	29.21692054	0.246680057	11.70465659
429	0.090703793	29.21766705	0.24714808	11.73387389
430	0.090492982	29.21840298	0.247616167	11.76309192
431	0.090283148	29.21912862	0.248084319	11.79231069
432	0.090074285	29.21984427	0.248552536	11.82153018
433	0.089866387	29.22055021	0.249020816	11.85075037
434	0.089659447	29.22124672	0.249489162	11.87997127
435	0.089453457	29.2219341	0.249957571	11.90919286
436	0.089248413	29.22261261	0.250426045	11.93841514
437	0.089044306	29.22328252	0.250894583	11.96763809
438	0.088841131	29.2239441	0.251363186	11.9968617
439	0.088638881	29.22459761	0.251831853	12.02608597
440	0.08843755	29.22524331	0.252300584	12.05531089
441	0.088237131	29.22588146	0.25276938	12.08453646
442	0.08803762	29.22651231	0.25323824	12.11376265
443	0.087839008	29.2271361	0.253707165	12.14298948
444	0.087641291	29.22775307	0.254176153	12.17221692
445	0.087444463	29.22836347	0.254645207	12.20144498
446	0.087248516	29.22896753	0.255114324	12.23067365
447	0.087053446	29.22956548	0.255583506	12.25990292
448	0.086859247	29.23015755	0.256052752	12.28913278
449	0.086665912	29.23074396	0.256522062	12.31836323
450	0.086473436	29.23132494	0.256991437	12.34759426
451	0.086281813	29.23190071	0.257460876	12.37682588
452	0.086091038	29.23247147	0.257930379	12.40605806
453	0.085901104	29.23303744	0.258399947	12.43529082
454	0.085712008	29.23359882	0.258869579	12.46452414
455	0.085523742	29.23415582	0.259339275	12.49375801
456	0.085336301	29.23470864	0.259809035	12.52299245
457	0.08514968	29.23525747	0.26027886	12.55222743
458	0.084963874	29.23580252	0.260748749	12.58146296
459	0.084778878	29.23634396	0.261218702	12.61069903
460	0.084594685	29.236882	0.26168872	12.63993565
461	0.084411291	29.23741681	0.262158801	12.6691728
462	0.084228691	29.23794857	0.262628947	12.69841048
463	0.084046879	29.23847747	0.263099158	12.72764869
464	0.08386585	29.23900368	0.263569432	12.75688743
465	0.0836856	29.23952737	0.264039771	12.7861267
466	0.083506123	29.24004872	0.264510174	12.81536649
467	0.083327414	29.24056788	0.264980641	12.8446068
468	0.083149469	29.24108503	0.265451172	12.87384762
469	0.082972282	29.24160033	0.265921768	12.90308897
470	0.082795849	29.24211393	0.266392427	12.93233082
471	0.082620165	29.24262599	0.266863151	12.96157319
472	0.082445225	29.24313667	0.26733394	12.99081607
473	0.082271025	29.24364611	0.267804792	13.02005947
474	0.082097559	29.24415447	0.268275709	13.04930337
475	0.081924823	29.24466189	0.268746689	13.07854777
476	0.081752813	29.24516851	0.269217734	13.10779269
477	0.081581523	29.24567448	0.269688843	13.13703811
478	0.08141095	29.24617993	0.270160017	13.16628404
479	0.081241089	29.246685	0.270631254	13.19553047
480	0.081071936	29.24718982	0.271102556	13.22477741
481	0.080903485	29.24769453	0.271573922	13.25402485
482	0.080735733	29.24819926	0.272045352	13.2832728
483	0.080568676	29.24870412	0.272516846	13.31252125
484	0.080402308	29.24920925	0.272988404	13.34177021
485	0.080236626	29.24971477	0.273460027	13.37101967
486	0.080071626	29.2502208	0.273931713	13.40026964
487	0.079907303	29.25072746	0.274403464	13.42952011
488	0.079743654	29.25123486	0.274875279	13.45877109
489	0.079580673	29.25174311	0.275347158	13.48802258
490	0.079418357	29.25225234	0.275819101	13.51727458
491	0.079256703	29.25276265	0.276291108	13.54652708
492	0.079095705	29.25327414	0.276763179	13.5757801
493	0.078935359	29.25378693	0.277235315	13.60503363
494	0.078775663	29.25430112	0.277707514	13.63428768
495	0.078616612	29.2548168	0.278179778	13.66354224
496	0.078458202	29.25533409	0.278652106	13.69279731
497	0.078300429	29.25585308	0.279124498	13.7220529
498	0.078143289	29.25637387	0.279596954	13.75130902
499	0.077986779	29.25689655	0.280069474	13.78056565
500	0.077830895	29.25742121	0.280542058	13.80982281
501	0.077675633	29.25794795	0.281014706	13.8390805
