T	den	cp	lambda	h
457	1.183350788	29.43777786	0.035631955	13.30977534
458	1.180765073	29.44112412	0.035691027	13.33921479
459	1.178190653	29.4444939	0.035750077	13.3686576
460	1.175627452	29.44788715	0.035809104	13.39810379
461	1.173075397	29.45130385	0.03586811	13.42755338
462	1.170534415	29.45474395	0.035927094	13.4570064
463	1.168004436	29.45820741	0.035986057	13.48646288
464	1.165485386	29.46169418	0.036044998	13.51592282
465	1.162977195	29.46520423	0.036103919	13.54538627
466	1.160479794	29.4687375	0.036162819	13.57485324
467	1.157993112	29.47229396	0.036221698	13.60432375
468	1.15551708	29.47587355	0.036280557	13.63379784
469	1.153051631	29.47947623	0.036339396	13.66327551
470	1.150596696	29.48310194	0.036398215	13.6927568
471	1.148152208	29.48675065	0.036457014	13.72224172
472	1.145718101	29.49042229	0.036515794	13.7517303
473	1.143294308	29.49411682	0.036574554	13.78122257
474	1.140880764	29.49783418	0.036633295	13.81071855
475	1.138477403	29.50157433	0.036692017	13.84021825
476	1.136084162	29.5053372	0.036750721	13.8697217
477	1.133700977	29.50912274	0.036809405	13.89922893
478	1.131327784	29.5129309	0.036868072	13.92873996
479	1.12896452	29.51676162	0.03692672	13.9582548
480	1.126611123	29.52061483	0.03698535	13.98777349
481	1.124267532	29.52449049	0.037043963	14.01729604
482	1.121933684	29.52838853	0.037102557	14.04682247
483	1.11960952	29.5323089	0.037161134	14.07635282
484	1.117294979	29.53625152	0.037219694	14.1058871
485	1.114990002	29.54021634	0.037278237	14.13542533
486	1.112694529	29.5442033	0.037336762	14.16496754
487	1.110408501	29.54821233	0.037395271	14.19451375
488	1.10813186	29.55224337	0.037453763	14.22406397
489	1.105864548	29.55629635	0.037512239	14.25361824
490	1.103606509	29.5603712	0.037570698	14.28317657
491	1.101357684	29.56446787	0.037629141	14.31273899
492	1.099118019	29.56858628	0.037687568	14.34230551
493	1.096887456	29.57272636	0.037745979	14.37187617
494	1.094665941	29.57688805	0.037804375	14.40145097
495	1.092453418	29.58107127	0.037862755	14.43102995
496	1.090249833	29.58527596	0.037921119	14.46061312
497	1.088055131	29.58950204	0.037979469	14.49020051
498	1.08586926	29.59374944	0.038037803	14.51979214
499	1.083692165	29.59801809	0.038096122	14.54938802
500	1.081523794	29.60230792	0.038154426	14.57898818
501	1.079364095	29.60661885	0.038212715	14.60859264
502	1.077213015	29.61095081	0.03827099	14.63820142
503	1.075070503	29.61530372	0.038329251	14.66781455
504	1.072936508	29.6196775	0.038387497	14.69743204
505	1.070810979	29.62407209	0.038445729	14.72705391
506	1.068693865	29.6284874	0.038503947	14.75668019
507	1.066585118	29.63292336	0.038562152	14.78631089
508	1.064484686	29.63737988	0.038620342	14.81594604
509	1.062392521	29.64185689	0.038678519	14.84558566
510	1.060308575	29.64635432	0.038736682	14.87522976
511	1.058232798	29.65087207	0.038794832	14.90487837
512	1.056165144	29.65541007	0.038852968	14.93453151
513	1.054105563	29.65996824	0.038911092	14.9641892
514	1.052054009	29.6645465	0.038969202	14.99385146
515	1.050010435	29.66914476	0.0390273	15.0235183
516	1.047974795	29.67376294	0.039085384	15.05318975
517	1.045947042	29.67840097	0.039143456	15.08286583
518	1.043927131	29.68305874	0.039201515	15.11254656
519	1.041915015	29.68773619	0.039259562	15.14223196
520	1.039910651	29.69243323	0.039317597	15.17192204
521	1.037913992	29.69714977	0.039375619	15.20161683
522	1.035924996	29.70188572	0.039433629	15.23131635
523	1.033943617	29.706641	0.039491627	15.26102061
